t|obj_id
42|8806 with 7092
42|1653 with 1232
42|4607 with 4367
42|9116 with 8446
42|9150 with 9130
42|1078 with 811
42|6045 with 5348
42|2858 with 2330
42|2709 with 2420
42|4702 with 4695
42|6968 with 6695
42|2954 with 1974
42|2430 with 2190
42|2497 with 2190
42|2497 with 2430
42|2520 with 2190
42|2520 with 2430
42|2520 with 2497
42|2617 with 2190
42|2617 with 2430
42|2617 with 2497
42|2617 with 2520
42|2631 with 2190
42|2631 with 2430
42|2631 with 2497
42|2631 with 2520
42|2631 with 2617
42|2831 with 2631
42|2831 with 2520
42|2831 with 2617
42|3191 with 2631
42|3191 with 2093
42|3191 with 2430
42|3191 with 2617
42|3351 with 2631
42|3351 with 3191
42|3351 with 2093
42|3351 with 2617
42|3795 with 2093
42|3803 with 2631
42|3803 with 2831
42|3803 with 2520
42|3803 with 2617
42|3351 with 2631
42|3351 with 3191
42|3351 with 2093
42|3351 with 2617
42|4118 with 3831
42|4276 with 3831
42|4286 with 4118
42|4321 with 4276
42|4321 with 4286
42|4380 with 4286
42|4380 with 4321
42|4628 with 4624
42|4667 with 4628
42|4721 with 4628
42|4721 with 4667
42|4733 with 4667
42|4733 with 4721
42|4857 with 4733
42|4867 with 4624
42|4867 with 4628
42|4867 with 4667
42|4867 with 4733
42|6990 with 4887
42|6990 with 4991
42|7078 with 4991
42|7078 with 6990
42|7089 with 4991
42|7089 with 6990
42|7089 with 7078
42|7263 with 4991
42|7263 with 6990
42|7263 with 7078
42|7263 with 7089
42|7318 with 4991
42|7318 with 6990
42|7318 with 7078
42|7318 with 7089
42|7318 with 7263
42|8068 with 6990
42|8068 with 7089
42|7318 with 4991
42|7318 with 6990
42|7318 with 7078
42|7318 with 7089
42|7318 with 7263
42|8356 with 8174
42|8720 with 8245
42|8720 with 8356
42|9072 with 8245
42|9072 with 8720
42|9188 with 8245
42|9188 with 8356
42|9188 with 8720
42|9188 with 9072
42|9370 with 8356
42|8068 with 4867
42|8068 with 3803
42|8068 with 2631
42|8068 with 3795
42|9542 with 9536
42|9750 with 9536
42|9750 with 9542
42|9765 with 9536
42|9778 with 9536
42|9778 with 9542
42|9778 with 9750
42|9778 with 9765
42|9802 with 9536
42|9802 with 9542
42|9802 with 9750
42|9837 with 9536
42|9837 with 9542
42|9837 with 9750
42|9837 with 9765
42|9837 with 9778
42|9370 with 4867
42|9370 with 3803
42|9370 with 2631
42|9370 with 3795
43|9941 with 9403
43|3785 with 2738
43|8806 with 7092
43|1653 with 1232
43|4607 with 4367
43|9116 with 8446
43|9150 with 9130
43|1078 with 811
43|6045 with 5348
43|2858 with 2330
43|2709 with 2420
43|4702 with 4695
43|6968 with 6695
43|5338 with 2949
43|2954 with 1974
43|2430 with 2190
43|2497 with 2190
43|2497 with 2430
43|2520 with 2190
43|2520 with 2430
43|2520 with 2497
43|2617 with 2190
43|2617 with 2430
43|2617 with 2497
43|2617 with 2520
43|2631 with 2190
43|2631 with 2430
43|2631 with 2497
43|2631 with 2520
43|2631 with 2617
43|2831 with 2631
43|2831 with 2520
43|2831 with 2617
43|3191 with 2631
43|3191 with 2093
43|3191 with 2430
43|3191 with 2617
43|3351 with 2631
43|3351 with 3191
43|3351 with 2093
43|3351 with 2617
43|3795 with 2093
43|3803 with 2631
43|3803 with 2831
43|3803 with 2520
43|3803 with 2617
43|3351 with 2631
43|3351 with 3191
43|3351 with 2093
43|3351 with 2617
43|4118 with 3831
43|4276 with 3831
43|4286 with 4118
43|4321 with 4276
43|4321 with 4286
43|4380 with 4286
43|4380 with 4321
43|4628 with 4624
43|4667 with 4628
43|4721 with 4628
43|4721 with 4667
43|4733 with 4667
43|4733 with 4721
43|4857 with 4733
43|4867 with 4624
43|4867 with 4628
43|4867 with 4667
43|4867 with 4733
43|6990 with 4887
43|6990 with 4991
43|7078 with 4991
43|7078 with 6990
43|7089 with 4991
43|7089 with 6990
43|7089 with 7078
43|7263 with 4991
43|7263 with 6990
43|7263 with 7078
43|7263 with 7089
43|7318 with 4991
43|7318 with 6990
43|7318 with 7078
43|7318 with 7089
43|7318 with 7263
43|8068 with 6990
43|8068 with 7089
43|7318 with 4991
43|7318 with 6990
43|7318 with 7078
43|7318 with 7089
43|7318 with 7263
43|8356 with 8174
43|8720 with 8245
43|8720 with 8356
43|9072 with 8245
43|9072 with 8720
43|9188 with 8245
43|9188 with 8356
43|9188 with 8720
43|9188 with 9072
43|9370 with 8356
43|8068 with 4867
43|8068 with 3803
43|8068 with 2631
43|8068 with 3795
43|9542 with 9536
43|9750 with 9536
43|9750 with 9542
43|9765 with 9536
43|9778 with 9536
43|9778 with 9542
43|9778 with 9750
43|9778 with 9765
43|9802 with 9536
43|9802 with 9542
43|9802 with 9750
43|9837 with 9536
43|9837 with 9542
43|9837 with 9750
43|9837 with 9765
43|9837 with 9778
43|9370 with 4867
43|9370 with 3803
43|9370 with 2631
43|9370 with 3795
44|9941 with 9403
44|3785 with 2738
44|8806 with 7092
44|1653 with 1232
44|9116 with 8446
44|9150 with 9130
44|1078 with 811
44|6045 with 5348
44|2858 with 2330
44|2709 with 2420
44|6968 with 6695
44|5338 with 2949
44|4862 with 4087
44|2954 with 1974
44|2430 with 2190
44|2497 with 2190
44|2497 with 2430
44|2520 with 2190
44|2520 with 2430
44|2520 with 2497
44|2617 with 2190
44|2617 with 2430
44|2617 with 2497
44|2617 with 2520
44|2631 with 2190
44|2631 with 2430
44|2631 with 2497
44|2631 with 2520
44|2631 with 2617
44|2831 with 2631
44|2831 with 2520
44|2831 with 2617
44|3191 with 2631
44|3191 with 2093
44|3191 with 2430
44|3191 with 2617
44|3351 with 2631
44|3351 with 3191
44|3351 with 2093
44|3351 with 2617
44|3795 with 2093
44|3803 with 2631
44|3803 with 2831
44|3803 with 2520
44|3803 with 2617
44|3351 with 2631
44|3351 with 3191
44|3351 with 2093
44|3351 with 2617
44|4118 with 3831
44|4276 with 3831
44|4286 with 4118
44|4321 with 4276
44|4321 with 4286
44|4380 with 4286
44|4380 with 4321
44|4628 with 4624
44|4667 with 4628
44|4721 with 4628
44|4721 with 4667
44|4733 with 4667
44|4733 with 4721
44|4857 with 4733
44|4867 with 4624
44|4867 with 4628
44|4867 with 4667
44|4867 with 4733
44|6990 with 4887
44|6990 with 4991
44|7078 with 4991
44|7078 with 6990
44|7089 with 4991
44|7089 with 6990
44|7089 with 7078
44|7263 with 4991
44|7263 with 6990
44|7263 with 7078
44|7263 with 7089
44|7318 with 4991
44|7318 with 6990
44|7318 with 7078
44|7318 with 7089
44|7318 with 7263
44|8068 with 6990
44|8068 with 7089
44|7318 with 4991
44|7318 with 6990
44|7318 with 7078
44|7318 with 7089
44|7318 with 7263
44|8356 with 8174
44|8720 with 8245
44|8720 with 8356
44|9072 with 8245
44|9072 with 8720
44|9188 with 8245
44|9188 with 8356
44|9188 with 8720
44|9188 with 9072
44|9370 with 8356
44|8068 with 4867
44|8068 with 3803
44|8068 with 2631
44|8068 with 3795
44|9542 with 9536
44|9750 with 9536
44|9750 with 9542
44|9765 with 9536
44|9778 with 9536
44|9778 with 9542
44|9778 with 9750
44|9778 with 9765
44|9802 with 9536
44|9802 with 9542
44|9802 with 9750
44|9837 with 9536
44|9837 with 9542
44|9837 with 9750
44|9837 with 9765
44|9837 with 9778
44|9370 with 4867
44|9370 with 3803
44|9370 with 2631
44|9370 with 3795
45|7078 with 6990
45|7080 with 6990
45|7080 with 7078
45|7089 with 6990
45|7089 with 7078
45|7089 with 7080
45|7263 with 6990
45|7263 with 7078
45|7263 with 7080
45|7263 with 7089
45|2884 with 3191
45|2884 with 3351
45|2884 with 3780
45|2884 with 3795
45|2884 with 3803
45|2884 with 2430
45|7845 with 7318
45|7845 with 7843
45|8068 with 7843
45|8068 with 7845
45|8129 with 7318
45|8129 with 7843
45|8129 with 7845
45|8129 with 8068
45|8174 with 7897
45|7263 with 3191
45|7263 with 3351
45|7263 with 3780
45|7263 with 3795
45|8720 with 8245
45|8720 with 8356
45|9072 with 8245
45|9072 with 8720
45|9188 with 8245
45|9188 with 8356
45|9188 with 8720
45|9188 with 9072
45|9370 with 8356
45|8174 with 3191
45|8174 with 3351
45|8174 with 3780
45|8174 with 3795
45|9624 with 9542
45|9750 with 9542
45|9750 with 9624
45|9761 with 9659
45|9765 with 9659
45|9765 with 9761
45|9778 with 9542
45|9778 with 9624
45|9778 with 9659
45|9778 with 9750
45|9778 with 9765
45|9536 with 3191
45|9536 with 3351
45|9536 with 3780
45|9536 with 3795
45|9808 with 9802
45|9837 with 9808
45|9900 with 9808
45|9900 with 9837
45|9900 with 9878
45|9923 with 9802
45|9923 with 9808
45|2430 with 2190
45|2497 with 2430
45|2497 with 2190
45|2617 with 2520
45|2631 with 2520
45|2631 with 2617
45|2688 with 2520
45|2688 with 2617
45|2688 with 2631
45|2769 with 2688
45|2831 with 2520
45|2831 with 2617
45|2831 with 2631
45|2831 with 2688
45|2880 with 2617
45|2880 with 2631
45|2880 with 2688
45|2880 with 2769
45|3191 with 2884
45|3351 with 2884
45|3351 with 3191
45|3780 with 2884
45|3780 with 3191
45|3780 with 3351
45|3795 with 3780
45|2430 with 2093
45|2430 with 2497
45|2430 with 2190
45|2430 with 2880
45|4118 with 3867
45|4286 with 4118
45|4321 with 4276
45|4321 with 4286
45|4380 with 4286
45|4380 with 4321
45|4523 with 3867
45|4523 with 4118
45|4523 with 4276
45|4523 with 4286
45|4523 with 4321
45|4523 with 4380
45|3831 with 2093
45|3831 with 2497
45|3831 with 2190
45|3831 with 2880
45|4628 with 4624
45|4667 with 4628
45|4721 with 4628
45|4721 with 4667
45|4733 with 4667
45|4733 with 4721
45|4784 with 4624
45|4784 with 4628
45|4784 with 4667
45|4784 with 4733
45|4857 with 4733
45|4523 with 2093
45|4523 with 2497
45|4523 with 2190
45|4523 with 2880
45|4949 with 4867
45|4964 with 4867
45|4964 with 4949
45|4991 with 4949
45|4991 with 4964
45|6832 with 4887
45|6832 with 4964
45|982 with 2868
45|6045 with 5348
45|3393 with 710
45|7662 with 7015
46|7078 with 6990
46|7080 with 6990
46|7080 with 7078
46|7089 with 6990
46|7089 with 7078
46|7089 with 7080
46|7263 with 6990
46|7263 with 7078
46|7263 with 7080
46|7263 with 7089
46|2884 with 3191
46|2884 with 3351
46|2884 with 3780
46|2884 with 3795
46|2884 with 3803
46|2884 with 2430
46|7845 with 7318
46|7845 with 7843
46|8068 with 7843
46|8068 with 7845
46|8129 with 7318
46|8129 with 7843
46|8129 with 7845
46|8129 with 8068
46|8174 with 7897
46|7263 with 3191
46|7263 with 3351
46|7263 with 3780
46|7263 with 3795
46|8720 with 8245
46|8720 with 8356
46|9072 with 8245
46|9072 with 8720
46|9188 with 8245
46|9188 with 8356
46|9188 with 8720
46|9188 with 9072
46|9370 with 8356
46|8174 with 3191
46|8174 with 3351
46|8174 with 3780
46|8174 with 3795
46|9624 with 9542
46|9750 with 9542
46|9750 with 9624
46|9761 with 9659
46|9765 with 9659
46|9765 with 9761
46|9778 with 9542
46|9778 with 9624
46|9778 with 9659
46|9778 with 9750
46|9778 with 9765
46|9536 with 3191
46|9536 with 3351
46|9536 with 3780
46|9536 with 3795
46|9808 with 9802
46|9837 with 9808
46|9900 with 9808
46|9900 with 9837
46|9900 with 9878
46|9923 with 9802
46|9923 with 9808
46|2430 with 2190
46|2497 with 2430
46|2497 with 2190
46|2617 with 2520
46|2631 with 2520
46|2631 with 2617
46|2688 with 2520
46|2688 with 2617
46|2688 with 2631
46|2769 with 2688
46|2831 with 2520
46|2831 with 2617
46|2831 with 2631
46|2831 with 2688
46|2880 with 2617
46|2880 with 2631
46|2880 with 2688
46|2880 with 2769
46|3191 with 2884
46|3351 with 2884
46|3351 with 3191
46|3780 with 2884
46|3780 with 3191
46|3780 with 3351
46|3795 with 3780
46|2430 with 2093
46|2430 with 2497
46|2430 with 2190
46|2430 with 2880
46|4118 with 3867
46|4286 with 4118
46|4321 with 4276
46|4321 with 4286
46|4380 with 4286
46|4380 with 4321
46|4523 with 3867
46|4523 with 4118
46|4523 with 4276
46|4523 with 4286
46|4523 with 4321
46|4523 with 4380
46|3831 with 2093
46|3831 with 2497
46|3831 with 2190
46|3831 with 2880
46|4628 with 4624
46|4667 with 4628
46|4721 with 4628
46|4721 with 4667
46|4733 with 4667
46|4733 with 4721
46|4784 with 4624
46|4784 with 4628
46|4784 with 4667
46|4784 with 4733
46|4857 with 4733
46|4523 with 2093
46|4523 with 2497
46|4523 with 2190
46|4523 with 2880
46|4949 with 4867
46|4964 with 4867
46|4964 with 4949
46|4991 with 4949
46|4991 with 4964
46|6832 with 4887
46|6832 with 4964
46|982 with 2868
46|6045 with 5348
46|3393 with 710
46|7662 with 7015
47|7078 with 6990
47|7080 with 6990
47|7080 with 7078
47|7089 with 6990
47|7089 with 7078
47|7089 with 7080
47|7263 with 6990
47|7263 with 7078
47|7263 with 7080
47|7263 with 7089
47|2884 with 3191
47|2884 with 3351
47|2884 with 3780
47|2884 with 3795
47|2884 with 3803
47|2884 with 2430
47|7845 with 7318
47|7845 with 7843
47|8068 with 7843
47|8068 with 7845
47|8129 with 7318
47|8129 with 7843
47|8129 with 7845
47|8129 with 8068
47|8174 with 7897
47|7263 with 3191
47|7263 with 3351
47|7263 with 3780
47|7263 with 3795
47|8720 with 8245
47|8720 with 8356
47|9072 with 8245
47|9072 with 8720
47|9188 with 8245
47|9188 with 8356
47|9188 with 8720
47|9188 with 9072
47|9370 with 8356
47|8174 with 3191
47|8174 with 3351
47|8174 with 3780
47|8174 with 3795
47|9624 with 9542
47|9750 with 9542
47|9750 with 9624
47|9761 with 9659
47|9765 with 9659
47|9765 with 9761
47|9778 with 9542
47|9778 with 9624
47|9778 with 9659
47|9778 with 9750
47|9778 with 9765
47|9536 with 3191
47|9536 with 3351
47|9536 with 3780
47|9536 with 3795
47|9808 with 9802
47|9837 with 9808
47|9900 with 9808
47|9900 with 9837
47|9900 with 9878
47|9923 with 9802
47|9923 with 9808
47|2430 with 2190
47|2497 with 2430
47|2497 with 2190
47|2617 with 2520
47|2631 with 2520
47|2631 with 2617
47|2688 with 2520
47|2688 with 2617
47|2688 with 2631
47|2769 with 2688
47|2831 with 2520
47|2831 with 2617
47|2831 with 2631
47|2831 with 2688
47|2880 with 2617
47|2880 with 2631
47|2880 with 2688
47|2880 with 2769
47|3191 with 2884
47|3351 with 2884
47|3351 with 3191
47|3780 with 2884
47|3780 with 3191
47|3780 with 3351
47|3795 with 3780
47|2430 with 2093
47|2430 with 2497
47|2430 with 2190
47|2430 with 2880
47|4118 with 3867
47|4286 with 4118
47|4321 with 4276
47|4321 with 4286
47|4380 with 4286
47|4380 with 4321
47|4523 with 3867
47|4523 with 4118
47|4523 with 4276
47|4523 with 4286
47|4523 with 4321
47|4523 with 4380
47|3831 with 2093
47|3831 with 2497
47|3831 with 2190
47|3831 with 2880
47|4628 with 4624
47|4667 with 4628
47|4721 with 4628
47|4721 with 4667
47|4733 with 4667
47|4733 with 4721
47|4784 with 4624
47|4784 with 4628
47|4784 with 4667
47|4784 with 4733
47|4857 with 4733
47|4523 with 2093
47|4523 with 2497
47|4523 with 2190
47|4523 with 2880
47|4949 with 4867
47|4964 with 4867
47|4964 with 4949
47|4991 with 4949
47|4991 with 4964
47|6832 with 4887
47|6832 with 4964
47|6045 with 5348
47|3393 with 710
47|7662 with 7015
48|7078 with 6990
48|7080 with 6990
48|7080 with 7078
48|7089 with 6990
48|7089 with 7078
48|7089 with 7080
48|7263 with 6990
48|7263 with 7078
48|7263 with 7080
48|7263 with 7089
48|2884 with 3191
48|2884 with 3351
48|2884 with 3780
48|2884 with 3795
48|2884 with 3803
48|2884 with 2430
48|7845 with 7318
48|7845 with 7843
48|8068 with 7843
48|8068 with 7845
48|8129 with 7318
48|8129 with 7843
48|8129 with 7845
48|8129 with 8068
48|8174 with 7897
48|7263 with 3191
48|7263 with 3351
48|7263 with 3780
48|7263 with 3795
48|8720 with 8245
48|8720 with 8356
48|9072 with 8245
48|9072 with 8720
48|9188 with 8245
48|9188 with 8356
48|9188 with 8720
48|9188 with 9072
48|9370 with 8356
48|8174 with 3191
48|8174 with 3351
48|8174 with 3780
48|8174 with 3795
48|9624 with 9542
48|9750 with 9542
48|9750 with 9624
48|9761 with 9659
48|9765 with 9659
48|9765 with 9761
48|9778 with 9542
48|9778 with 9624
48|9778 with 9659
48|9778 with 9750
48|9778 with 9765
48|9536 with 3191
48|9536 with 3351
48|9536 with 3780
48|9536 with 3795
48|9808 with 9802
48|9837 with 9808
48|9900 with 9808
48|9900 with 9837
48|9900 with 9878
48|9923 with 9802
48|9923 with 9808
48|2430 with 2190
48|2497 with 2430
48|2497 with 2190
48|2617 with 2520
48|2631 with 2520
48|2631 with 2617
48|2688 with 2520
48|2688 with 2617
48|2688 with 2631
48|2769 with 2688
48|2831 with 2520
48|2831 with 2617
48|2831 with 2631
48|2831 with 2688
48|2880 with 2617
48|2880 with 2631
48|2880 with 2688
48|2880 with 2769
48|3191 with 2884
48|3351 with 2884
48|3351 with 3191
48|3780 with 2884
48|3780 with 3191
48|3780 with 3351
48|3795 with 3780
48|2430 with 2093
48|2430 with 2497
48|2430 with 2190
48|2430 with 2880
48|4118 with 3867
48|4286 with 4118
48|4321 with 4276
48|4321 with 4286
48|4380 with 4286
48|4380 with 4321
48|4523 with 3867
48|4523 with 4118
48|4523 with 4276
48|4523 with 4286
48|4523 with 4321
48|4523 with 4380
48|3831 with 2093
48|3831 with 2497
48|3831 with 2190
48|3831 with 2880
48|4628 with 4624
48|4667 with 4628
48|4721 with 4628
48|4721 with 4667
48|4733 with 4667
48|4733 with 4721
48|4784 with 4624
48|4784 with 4628
48|4784 with 4667
48|4784 with 4733
48|4857 with 4733
48|4523 with 2093
48|4523 with 2497
48|4523 with 2190
48|4523 with 2880
48|4949 with 4867
48|4964 with 4867
48|4964 with 4949
48|4991 with 4949
48|4991 with 4964
48|6832 with 4887
48|6832 with 4964
48|6045 with 5348
48|6619 with 3998
48|7412 with 7010
48|3393 with 710
48|7662 with 7015
48|7638 with 5489
49|7078 with 6990
49|7080 with 6990
49|7080 with 7078
49|7089 with 6990
49|7089 with 7078
49|7089 with 7080
49|7263 with 6990
49|7263 with 7078
49|7263 with 7080
49|7263 with 7089
49|2884 with 3191
49|2884 with 3351
49|2884 with 3780
49|2884 with 3795
49|2884 with 3803
49|2884 with 2430
49|7845 with 7318
49|7845 with 7843
49|8068 with 7843
49|8068 with 7845
49|8129 with 7318
49|8129 with 7843
49|8129 with 7845
49|8129 with 8068
49|8174 with 7897
49|7263 with 3191
49|7263 with 3351
49|7263 with 3780
49|7263 with 3795
49|8720 with 8245
49|8720 with 8356
49|9072 with 8245
49|9072 with 8720
49|9188 with 8245
49|9188 with 8356
49|9188 with 8720
49|9188 with 9072
49|9370 with 8356
49|8174 with 3191
49|8174 with 3351
49|8174 with 3780
49|8174 with 3795
49|9624 with 9542
49|9750 with 9542
49|9750 with 9624
49|9761 with 9659
49|9765 with 9659
49|9765 with 9761
49|9778 with 9542
49|9778 with 9624
49|9778 with 9659
49|9778 with 9750
49|9778 with 9765
49|9536 with 3191
49|9536 with 3351
49|9536 with 3780
49|9536 with 3795
49|9808 with 9802
49|9837 with 9808
49|9900 with 9808
49|9900 with 9837
49|9900 with 9878
49|9923 with 9802
49|9923 with 9808
49|2430 with 2190
49|2497 with 2430
49|2497 with 2190
49|2617 with 2520
49|2631 with 2520
49|2631 with 2617
49|2688 with 2520
49|2688 with 2617
49|2688 with 2631
49|2769 with 2688
49|2831 with 2520
49|2831 with 2617
49|2831 with 2631
49|2831 with 2688
49|2880 with 2617
49|2880 with 2631
49|2880 with 2688
49|2880 with 2769
49|3191 with 2884
49|3351 with 2884
49|3351 with 3191
49|3780 with 2884
49|3780 with 3191
49|3780 with 3351
49|3795 with 3780
49|2430 with 2093
49|2430 with 2497
49|2430 with 2190
49|2430 with 2880
49|4118 with 3867
49|4286 with 4118
49|4321 with 4276
49|4321 with 4286
49|4380 with 4286
49|4380 with 4321
49|4523 with 3867
49|4523 with 4118
49|4523 with 4276
49|4523 with 4286
49|4523 with 4321
49|4523 with 4380
49|3831 with 2093
49|3831 with 2497
49|3831 with 2190
49|3831 with 2880
49|4628 with 4624
49|4667 with 4628
49|4721 with 4628
49|4721 with 4667
49|4733 with 4667
49|4733 with 4721
49|4784 with 4624
49|4784 with 4628
49|4784 with 4667
49|4784 with 4733
49|4857 with 4733
49|4523 with 2093
49|4523 with 2497
49|4523 with 2190
49|4523 with 2880
49|4949 with 4867
49|4964 with 4867
49|4964 with 4949
49|4991 with 4949
49|4991 with 4964
49|6832 with 4887
49|6832 with 4964
49|6045 with 5348
49|6619 with 3998
49|7412 with 7010
49|3393 with 710
49|7662 with 7015
49|7638 with 5489
50|1353 with 84
50|2065 with 2011
50|2093 with 2011
50|2093 with 2065
50|2190 with 2065
50|2430 with 2065
50|2430 with 2190
50|2497 with 2430
50|2497 with 2190
50|2520 with 2430
50|2520 with 2497
50|2520 with 2190
50|2617 with 2520
50|2617 with 2430
50|2617 with 2497
50|2617 with 2011
50|2617 with 2065
50|2617 with 2190
50|2631 with 2520
50|2631 with 2430
50|2631 with 2497
50|2631 with 2617
50|2631 with 2011
50|2631 with 2065
50|2631 with 2190
50|2688 with 2520
50|2688 with 2631
50|2688 with 2430
50|2688 with 2497
50|2688 with 2617
50|2688 with 2011
50|2688 with 2065
50|2688 with 2190
50|2769 with 2688
50|2769 with 2011
50|2769 with 2065
50|2769 with 2093
50|2831 with 2520
50|2831 with 2688
50|2831 with 2631
50|2831 with 2617
50|2831 with 2011
50|2831 with 2065
50|2520 with 2831
50|2520 with 2688
50|2520 with 2631
50|2520 with 2430
50|2520 with 2497
50|2520 with 2617
50|2520 with 2190
50|2884 with 2880
50|3191 with 2880
50|3191 with 2884
50|3351 with 2880
50|3351 with 2884
50|3351 with 3191
50|3668 with 2880
50|3668 with 2884
50|3668 with 3191
50|3668 with 3351
50|3777 with 2880
50|3777 with 2884
50|3777 with 3191
50|3777 with 3351
50|3777 with 3668
50|3780 with 2880
50|3780 with 2884
50|3780 with 3191
50|3780 with 3351
50|3780 with 3668
50|3780 with 3777
50|2831 with 2688
50|2831 with 2631
50|2831 with 2769
50|2831 with 2430
50|3867 with 3803
50|3867 with 3831
50|4118 with 3831
50|4118 with 3867
50|4276 with 3831
50|4276 with 4163
50|3780 with 2688
50|3780 with 2631
50|3780 with 2769
50|3780 with 2430
50|4321 with 4286
50|4321 with 4300
50|4380 with 4286
50|4380 with 4321
50|4523 with 4286
50|4523 with 4300
50|4523 with 4321
50|4523 with 4380
50|4538 with 4523
50|4624 with 4286
50|4624 with 4380
50|4276 with 2688
50|4276 with 2631
50|4276 with 2769
50|4276 with 2430
50|4667 with 4628
50|4721 with 4628
50|4721 with 4667
50|4733 with 4667
50|4733 with 4721
50|4784 with 4628
50|4784 with 4667
50|4784 with 4733
50|4857 with 4733
50|4867 with 4628
50|4867 with 4667
50|4867 with 4733
50|4867 with 4784
50|4624 with 2688
50|4624 with 2631
50|4624 with 2769
50|4624 with 2430
50|4949 with 4891
50|4964 with 4891
50|4964 with 4949
50|4991 with 4891
50|4991 with 4949
50|4991 with 4964
50|6832 with 4887
50|6832 with 4891
50|6832 with 4964
50|6990 with 4887
50|6990 with 4891
50|6990 with 4964
50|6990 with 4991
50|6990 with 6832
50|4867 with 2688
50|4867 with 2631
50|4867 with 2769
50|4867 with 2430
50|7080 with 7078
50|7089 with 7078
50|7089 with 7080
50|7244 with 7089
50|7263 with 7078
50|7263 with 7080
50|7263 with 7089
50|7318 with 7078
50|7318 with 7080
50|7318 with 7089
50|7318 with 7263
50|7843 with 7089
50|6990 with 2688
50|6990 with 2631
50|6990 with 2769
50|6990 with 2430
50|7897 with 7890
50|8068 with 7845
50|8129 with 7845
50|8129 with 7890
50|8129 with 8068
50|8174 with 7890
50|8174 with 7897
50|8245 with 7845
50|8245 with 8068
50|8245 with 8129
50|7843 with 2688
50|7843 with 2631
50|7843 with 2769
50|7843 with 2430
50|8463 with 8356
50|8720 with 8356
50|8720 with 8463
50|9072 with 8463
50|9072 with 8720
50|9072 with 9032
50|9188 with 8356
50|9188 with 8463
50|9188 with 8720
50|9188 with 9072
50|9370 with 8356
50|9370 with 8463
50|8245 with 2688
50|8245 with 2631
50|8245 with 2769
50|8245 with 2430
50|9542 with 9536
50|9624 with 9536
50|9624 with 9542
50|9750 with 9536
50|9750 with 9542
50|9750 with 9624
50|9761 with 9659
50|9370 with 2688
50|9370 with 2631
50|9370 with 2769
50|9370 with 2430
50|9778 with 9765
50|9808 with 9778
50|9808 with 9802
50|9837 with 9765
50|9837 with 9778
50|9837 with 9808
50|9878 with 9765
50|9878 with 9778
50|9761 with 2688
50|9761 with 2631
50|9761 with 2769
50|9761 with 2430
50|8188 with 4791
50|8098 with 7270
50|6045 with 5348
50|7343 with 4994
51|1353 with 84
51|2065 with 2011
51|2093 with 2011
51|2093 with 2065
51|2190 with 2065
51|2430 with 2065
51|2430 with 2190
51|2497 with 2430
51|2497 with 2190
51|2520 with 2430
51|2520 with 2497
51|2520 with 2190
51|2617 with 2520
51|2617 with 2430
51|2617 with 2497
51|2617 with 2011
51|2617 with 2065
51|2617 with 2190
51|2631 with 2520
51|2631 with 2430
51|2631 with 2497
51|2631 with 2617
51|2631 with 2011
51|2631 with 2065
51|2631 with 2190
51|2688 with 2520
51|2688 with 2631
51|2688 with 2430
51|2688 with 2497
51|2688 with 2617
51|2688 with 2011
51|2688 with 2065
51|2688 with 2190
51|2769 with 2688
51|2769 with 2011
51|2769 with 2065
51|2769 with 2093
51|2831 with 2520
51|2831 with 2688
51|2831 with 2631
51|2831 with 2617
51|2831 with 2011
51|2831 with 2065
51|2520 with 2831
51|2520 with 2688
51|2520 with 2631
51|2520 with 2430
51|2520 with 2497
51|2520 with 2617
51|2520 with 2190
51|2884 with 2880
51|3191 with 2880
51|3191 with 2884
51|3351 with 2880
51|3351 with 2884
51|3351 with 3191
51|3668 with 2880
51|3668 with 2884
51|3668 with 3191
51|3668 with 3351
51|3777 with 2880
51|3777 with 2884
51|3777 with 3191
51|3777 with 3351
51|3777 with 3668
51|3780 with 2880
51|3780 with 2884
51|3780 with 3191
51|3780 with 3351
51|3780 with 3668
51|3780 with 3777
51|2831 with 2688
51|2831 with 2631
51|2831 with 2769
51|2831 with 2430
51|3867 with 3803
51|3867 with 3831
51|4118 with 3831
51|4118 with 3867
51|4276 with 3831
51|4276 with 4163
51|3780 with 2688
51|3780 with 2631
51|3780 with 2769
51|3780 with 2430
51|4321 with 4286
51|4321 with 4300
51|4380 with 4286
51|4380 with 4321
51|4523 with 4286
51|4523 with 4300
51|4523 with 4321
51|4523 with 4380
51|4538 with 4523
51|4624 with 4286
51|4624 with 4380
51|4276 with 2688
51|4276 with 2631
51|4276 with 2769
51|4276 with 2430
51|4667 with 4628
51|4721 with 4628
51|4721 with 4667
51|4733 with 4667
51|4733 with 4721
51|4784 with 4628
51|4784 with 4667
51|4784 with 4733
51|4857 with 4733
51|4867 with 4628
51|4867 with 4667
51|4867 with 4733
51|4867 with 4784
51|4624 with 2688
51|4624 with 2631
51|4624 with 2769
51|4624 with 2430
51|4949 with 4891
51|4964 with 4891
51|4964 with 4949
51|4991 with 4891
51|4991 with 4949
51|4991 with 4964
51|6832 with 4887
51|6832 with 4891
51|6832 with 4964
51|6990 with 4887
51|6990 with 4891
51|6990 with 4964
51|6990 with 4991
51|6990 with 6832
51|4867 with 2688
51|4867 with 2631
51|4867 with 2769
51|4867 with 2430
51|7080 with 7078
51|7089 with 7078
51|7089 with 7080
51|7244 with 7089
51|7263 with 7078
51|7263 with 7080
51|7263 with 7089
51|7318 with 7078
